id,name,type,space,full,empty,bike_yb1,bike_yb2,bike_eyb,city,area,lat,lng,place_id,address,is_open,updated_at
500612020,運五棒球場,2,12,3,9,0,3,0,台中市,清水區,24.26336,120.56697,,南社路/中山路田尾巷口(東北側),1,1704365537
500606058,捷運文華高中站,2,30,0,30,0,0,0,台中市,西屯區,24.171695,120.660816,,文心路三段/河南路二段口(西北側),1,1704365537
500602058,臺中轉運站,2,40,6,34,0,6,0,台中市,東區,24.13887,120.68755,,大智北路/八德街口(西北側),1,1704365537
500610050,德芳兒童公園,2,15,9,6,0,9,0,台中市,大里區,24.10462,120.68463,,新芳路/德芳南三街口(東南側),1,1704365537
500608117,四張犁國中,2,16,3,13,0,3,0,台中市,北屯區,24.19351,120.67634,,后庄路/崇德十路二段(北側),1,1704365537
500606135,港尾里守望相助隊,2,15,7,8,0,7,0,台中市,西屯區,24.19807,120.6598,,中康二街/中康街口(西北側),1,1704365537
500604064,樹德一巷復興北路口,2,15,10,5,0,9,1,台中市,南區,24.11234,120.64622,,樹德一巷/復興北路口(東南側),1,1704365537
500616009,梧棲運15運動公園,2,15,7,8,0,7,0,台中市,梧棲區,24.24992,120.52935,,建國北街315巷9弄/文化路一段口(東南側),1,1704365537
500610046,瑞和公園,2,15,4,11,0,4,0,台中市,大里區,24.0851,120.70511,,瑞和街120巷/瑞和街口(西南側),1,1704365537
500229009,四維公園,2,12,9,3,0,9,0,新北市,新莊區,25.0213,121.42221,,四維路/四維路179巷口(西側),1,1704365537
500207052,中和自強公園,2,29,7,22,0,7,0,新北市,中和區,24.99886,121.47238,,莒光路181號對側公園人行道(西側),1,1704365537
500234007,鶯歌國中,2,10,2,8,0,2,0,新北市,鶯歌區,24.95119,121.34256,,鶯桃路39-5號對側,1,1704365537
500234008,永吉國小,2,16,5,11,0,5,0,新北市,鶯歌區,24.95865,121.33308,,德昌二街39號對側,1,1704365537
500234012,鳳福公園,2,15,4,11,0,4,0,新北市,鶯歌區,24.97572,121.32938,,鳳吉一街186號(對面),1,1704365537
500231041,四維國凱街口(立天下社區),2,12,4,8,0,4,0,新北市,樹林區,24.97934,121.42241,,四維路與國凱街口,1,1704365537
500231027,山佳火車站,2,18,5,13,0,5,0,新北市,樹林區,24.97271,121.39317,,山佳街47號(對面),1,1704365537
500231028,學成大成路口,2,33,3,29,0,3,0,新北市,樹林區,24.94587,121.38236,,大成路與學成路口,1,1704365537
500231010,柑園國小,2,14,3,11,0,3,0,新北市,樹林區,24.95615,121.38966,,柑園街一段353號(前),1,1704365537
500216032,中山佳林路口,2,11,1,10,0,1,0,新北市,林口區,25.07923,121.38527,,佳林路/中山路口(東南側),1,1704365537
500210028,永福橋,2,37,20,17,0,20,0,新北市,永和區,25.01003,121.52418,,豫溪街217巷29號,1,1704365537
500229055,新泰國中,2,20,6,14,0,6,0,新北市,新莊區,25.04316,121.44414,,新泰路/新泰路376巷口(西南側),1,1704365537
500218115,海山高中,2,27,10,17,0,10,0,新北市,板橋區,25.00911,121.47149,,漢生東路215號,1,1704365537
500214039,康寧街141巷口,2,15,5,10,0,5,0,新北市,汐止區,25.06833,121.61988,,康寧街141巷口(堤防邊),1,1704365537
500205018,學成大義路口(學成路一),2,13,3,10,0,3,0,新北市,三峽區,24.94477,121.37803,,大義路195號(東南側公車站旁),1,1704365537
500205021,新北市客家文化園區,2,17,6,11,0,6,0,新北市,三峽區,24.94207,121.36034,,隆恩街239號(前人行道),1,1704365537
500205022,龍恩公園,2,21,6,15,0,6,0,新北市,三峽區,24.94135,121.37052,,國際一街90號南側,1,1704365537
500205023,龍埔公園,2,23,12,11,0,12,0,新北市,三峽區,24.93841,121.3742,,國光街73號(對面),1,1704365537
500224004,深坑雲鄉路,2,16,6,10,0,6,0,新北市,深坑區,24.99988,121.62101,,雲鄉路1號北側,1,1704365537
500111055,育成高中,2,20,0,20,0,0,0,台北市,南港區,25.05853,121.60983,,惠民街71號西側,1,1704365537
500111056,捷運南港展覽館站(7號出口),2,20,1,19,0,1,0,台北市,南港區,25.05436,121.6181,,富康街1巷16弄2號東側,1,1704365537
500105049,興得閱覽室,2,24,13,11,0,13,0,台北市,文山區,24.99579,121.55498,,興隆路三段304巷145號,1,1704365537
500101177,復興南路一段126巷口,2,15,13,2,0,13,0,台北市,大安區,25.04311,121.54313,,復興南路一段126巷1號前,1,1704365537
500101178,羅斯福新生南路口,2,0,0,0,0,0,0,台北市,大安區,25.01603,121.53318,,羅斯福路四段/新生南路三段(東南側),0,1704365537
500112078,吳興街284巷36弄口,2,25,4,21,0,4,0,台北市,信義區,25.02236,121.56268,,吳興街284巷36弄24號西側,1,1704365537
500103041,迪化休閒運動公園,2,15,2,13,0,2,0,台北市,大同區,25.07491,121.5115,,延平北路四段200號(南側),1,1704365537
2398,青溪國中,1,28,22,6,22,0,0,桃園市,桃園區,24.99752272,121.3201492,,中山東路/中山東路126巷口(西南側),1,1704365499
500216031,麗林公有市場,2,12,6,6,0,6,0,新北市,林口區,25.06912,121.36776,,公園路59號,1,1704365537
500112076,捷運台北101/世貿站(2號出口),2,52,10,42,0,10,0,台北市,信義區,25.0327,121.56157,,捷運台北101/世貿站(2號出口)(西側),1,1704365537
500108087,東湖一號公園,2,10,4,6,0,4,0,台北市,內湖區,25.07567,121.6118,,康寧路三段189巷163弄13號東南側,1,1704365537
500108089,康湖二號公園(康寧醫院),2,16,8,8,0,8,0,台北市,內湖區,25.07514,121.60857,,成功路五段420巷17號東側,1,1704365537
